Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
11 Com b,11 Com,2,0,Radial Velocity,2007,Xinglong Station,326.03,0.32,-0.32,1.29,12.1,,,1.08,6165.6,476.7,-476.7,G8 III,19,2.7,0.3,-0.3,,93.1846,1.9238,-1.9238,0
11 UMi b,11 UMi,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,3.2,-3.2,1.53,12.3,,,1.09,4684.8142,794.575,-794.575,K4 III,29.79,2.78,0.69,-0.69,1.56,125.321,1.9765,-1.9765,0
14 And b,14 And,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.23,-0.23,0.83,12.9,,,1.15,1525.5,,,K0 III,11,2.2,0.1,-0.2,4.5,75.4392,0.714,-0.714,0
14 Her b,14 Her,1,0,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.5,-2.5,2.93,12.9,,,1.15,1481.0878,47.6745,-47.6745,K0 V,0.93,0.9,0.04,-0.04,3.9,17.9323,0.0073,-0.0073,0
16 Cyg B b,16 Cyg B,3,0,Radial Velocity,1996,Multiple Observatories,798.5,1,-1,1.66,13.5,,,1.2,565.7374,25.4264,-25.4264,G3 V,1.13,1.08,0.04,-0.04,7.4,21.1397,0.011,-0.0111,0
18 Del b,18 Del,2,0,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,3.2,-3.2,2.6,12.5,,,1.11,3273.5,,,G6 III,8.5,2.3,,,1.1,76.222,0.6217,-0.6217,0
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,0,Imaging,2008,Gemini Observatory,,,,330,18.647,,,1.664,3000,300,-300,K7 V,1.31,0.85,0.2,-0.1,0.005,139.135,1.332,-1.307,0
24 Boo b,24 Boo,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.0078,-0.0077,0.19,13.9,,,1.24,289.2253,41.3179,-31.783,G3 IV,10.64,0.99,0.19,-0.13,6.92,95.9863,0.63685,-0.63685,0
24 Sex b,24 Sex,1,0,Radial Velocity,2010,Lick Observatory,452.8,2.1,-4.5,1.333,13.4,,,1.19,632.46,82.63,-120.77,K0 IV,4.9,1.54,0.08,-0.08,2.7,72.0691,0.6854,-0.6728,0
24 Sex c,24 Sex,1,0,Radial Velocity,2010,Lick Observatory,883,32.4,-13.8,2.08,13.9,,,1.24,273.32,111.24,-69.92,K0 IV,4.9,1.54,0.08,-0.08,2.7,72.0691,0.6854,-0.6728,0
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,0,Imaging,2013,Paranal Observatory,,,,84,12.3,,,1.1,4131.79,317.83,-317.83,M5.5/M6,,0.19,0.02,-0.02,0.03,47.2,3.1,-3.1,0
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,0,Imaging,2013,W. M. Keck Observatory,,,,52,11.209,,,1,7786.5,794.5,-794.5,M3.5 V,0.37,0.4,0.05,-0.05,0.12,33.8281,0.0864,-0.086,0
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,,,,156,16.141,0.336,-0.336,1.44,4417.837,349.613,-349.613,M6,0.28,0.11,0.01,-0.01,0.035,40.0896412,0.1940496,-0.1940496,0
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,0,Imaging,2010,Hubble Space Telescope,,,,15,12.6,,,1.13,2383.6,794.5,-794.5,M8.5,0.23,0.02,,,0.001,120.423987,5.4783417,-5.4783417,0
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,0,Imaging,2004,Paranal Observatory,,,,55,12.9,,,1.15,1589.15,635.66,-635.66,M8,0.22,0.02,,,0.008,64.308,0.6569,-0.644,0
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,0,Eclipse Timing Variations,2015,Kepler,416,2,-2,0.92,13.4,,,1.2,603.877,31.783,-31.783,,0.34,0.48,0.03,-0.03,,396.332,6.3885,-6.3885,0
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,0,Imaging,2009,W. M. Keck Observatory,7336.5,1934.5,-584,,10.31,4.37,-4.04,0.92,6657.48,26629.91,-6657.48,M8.5,0.12,0.08,0.06,-0.06,,33.1156898,0.4759328,-0.4759328,0
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,0,Imaging,2016,W. M. Keck Observatory,,,,230,12.3,,,1.1,3972.875,476.745,-476.745,K7 V,0.64,0.6,0.05,-0.05,0.12,69.5737,0.1592,-0.1585,0
30 Ari B b,30 Ari B,4,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,335.10001,2.5,-2.5,0.99,12.3,,,1.1,4392.4106,572.094,-572.094,F6 V,1.41,1.93,0.27,-0.27,0.91,44.657,0.1039,-0.1034,0
4 UMa b,4 UMa,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,269.3,1.96,-1.96,0.87,12.7,,,1.13,2256.5,508.5,-508.5,K1 III,18.11,1.23,0.15,-0.15,4.604,73.4603,1.18605,-1.18605,0
42 Dra b,42 Dra,2,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,479.1,6.2,-6.2,1.19,13,,,1.16,1233.13,270.14,-270.14,K1.5 III,22.03,0.98,0.05,-0.05,9.49,90.6545,1.3227,-1.3227,0
47 UMa b,47 UMa,1,0,Radial Velocity,1996,Lick Observatory,1078,2,-2,2.1,13.2,,,1.18,804.08,22.25,-19.07,G0 V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
47 UMa c,47 UMa,1,0,Radial Velocity,2001,Lick Observatory,2391,100,-87,3.6,14.2,,,1.27,171.621,20.976,-23.201,G1 V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
47 UMa d,47 UMa,1,0,Radial Velocity,2009,Lick Observatory,14002,4018,-5095,11.6,13.5,,,1.2,521.22,92.17,-152.55,G0V,1.21,1.06,0.13,-0.14,6.48,13.7967,0.0289,-0.0289,0
51 Eri b,51 Eri,3,0,Imaging,2015,Gemini Observatory,11688,6209.25,-3287.25,12,13.4,,,1.19,635.66,,,F0 IV,1.49,1.65,0.36,-0.18,0.02,29.7575,0.1213,-0.1203,0
51 Peg b,51 Peg,1,0,Radial Velocity,1995,Haute-Provence Observatory,4.230785,0.000036,-0.000036,0.0527,14.3,,,1.27,146.2018,19.0698,-3.1783,G5V,1.18,1.03,0.17,-0.09,10,15.4614,0.0297,-0.0297,0
55 Cnc b,55 Cnc,2,0,Radial Velocity,1996,Lick Observatory,14.6516,0.0001,-0.0001,0.1134,13.9,,,1.24,263.9785,1.0488,-1.0488,K0 IV-V,0.94,0.91,0.01,-0.01,5.5,12.5855,0.0124,-0.0123,0
55 Cnc c,55 Cnc,2,0,Radial Velocity,2004,McDonald Observatory,44.3989,0.0042,-0.0043,0.2373,8.51,,,0.76,54.4738,1.748,-1.748,G8V,0.94,0.91,0.01,-0.01,10.2,12.5855,0.0124,-0.0123,0
55 Cnc d,55 Cnc,2,0,Radial Velocity,2002,Lick Observatory,5574.2,93.8,-88.6,5.957,13,,,1.16,1232.493,21.612,-21.612,G8 V,0.94,0.91,0.01,-0.01,5.5,12.5855,0.0124,-0.0123,0
55 Cnc e,55 Cnc,2,0,Radial Velocity,2004,McDonald Observatory,0.7365474,0.0000013,-0.0000014,0.01544,1.875,0.029,-0.029,0.167,7.99,0.32,-0.33,G8 V,0.94,0.91,0.01,-0.01,10.2,12.5855,0.0124,-0.0123,3
55 Cnc f,55 Cnc,2,0,Radial Velocity,2007,Multiple Observatories,259.88,0.29,-0.29,0.7708,7.59,,,0.677,44.812,3.814,-3.814,G8V,0.94,0.91,0.01,-0.01,10.2,12.5855,0.0124,-0.0123,0
6 Lyn b,6 Lyn,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,934.3,8.6,-8.6,2.11,13.4,,,1.19,638.8383,24.47291,-24.47291,K0 IV,5.2,1.44,,,2.353,54.6599,0.2734,-0.2734,0
61 Vir b,61 Vir,1,0,Radial Velocity,2009,Multiple Observatories,4.215,0.0006,-0.0006,0.050201,2.11,,,0.188,5.1,0.5,-0.5,G5 V,0.96,0.94,0.03,-0.03,8.96,8.50332,0.01737,-0.0173,0
61 Vir c,61 Vir,1,0,Radial Velocity,2009,Multiple Observatories,38.021,0.034,-0.034,0.2175,4.46,,,0.398,18.2,1.1,-1.1,G5 V,0.96,0.94,0.03,-0.03,8.96,8.50332,0.01737,-0.0173,0
61 Vir d,61 Vir,1,0,Radial Velocity,2009,Multiple Observatories,123.01,0.55,-0.55,0.476,5.11,,,0.456,22.9,2.6,-2.6,G5 V,0.96,0.94,0.03,-0.03,8.96,8.50332,0.01737,-0.0173,0
7 CMa b,7 CMa,1,0,Radial Velocity,2011,Anglo-Australian Telescope,735.1,14.8,-1,1.758,13.4,,,1.2,587.9855,19.0698,-19.0698,K1 III,4.87,1.34,0.11,-0.12,4.3,19.8101,0.1648,-0.1648,0
7 CMa c,7 CMa,1,0,Radial Velocity,2019,Multiple Observatories,996,1.5,-52.4,2.153,13.9,,,1.24,276.5121,19.0698,-19.0698,K1III(+M),4.87,1.34,0.11,-0.12,4.3,19.8101,0.1648,-0.1648,0
70 Vir b,70 Vir,1,0,Radial Velocity,1996,Lick Observatory,116.688,0.0054,-0.0054,0.481,12.6,,,1.13,2380.45,193.87,-193.87,G5V,1.89,1.09,,,7.77,17.9011,0.056,-0.0557,0
75 Cet b,75 Cet,2,0,Radial Velocity,2012,Okayama Astrophysical Observatory,691.9,3.6,-3.6,2.1,13.1,,,1.17,953.49,,,G3 III,10.5,2.49,0.02,-0.27,,82.9613,0.72365,-0.72365,0
8 UMi b,8 UMi,1,0,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,93.4,4.5,-4.5,0.49,13.6,,,1.22,416.3573,50.8528,-50.8528,K0,10.3,1.44,0.19,-0.19,1.7,162.552,0.651,-0.646,0
81 Cet b,81 Cet,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,952.7,8.8,-8.8,2.5,12.8,,,1.14,1684.4,,,G5 III,11,2.4,0.1,-0.4,,101.26,1.222,-1.222,0
91 Aqr b,91 Aqr,3,0,Radial Velocity,2013,Lick Observatory,181.4,0.1,-0.1,0.7,13.1,,,1.17,1017,,,K0 III,11,1.4,0.1,-0.1,3.56,44.0304,0.51325,-0.51325,0
AB Pic b,AB Pic,1,0,Imaging,2005,Paranal Observatory,,,,260,12.3,,,1.1,4290.5,158.9,-158.9,K2 V,1,0.9,0.1,-0.1,0.03,50.0475,0.0735,-0.0733,0
AU Mic b,AU Mic,1,0,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),8.463,0.000002,-0.000002,0.0645,4.07,0.17,-0.17,0.363,17,5,-5,M1VE,0.75,0.5,0.03,-0.03,0.022,9.7221,0.004625,-0.004625,0
AU Mic c,AU Mic,1,0,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),18.859019,0.000016,-0.000016,0.1101,3.24,0.16,-0.16,0.289,13.6,11.4,-11.4,M1VE,0.75,0.5,0.03,-0.03,0.022,9.7221,0.004625,-0.004625,0
BD+03 2562 b,BD+03 2562,1,0,Radial Velocity,2017,Multiple Observatories,481.9,2.7,-2.8,1.3,12.7,,,1.13,2034.112,413.179,-413.179,,32.35,1.14,0.25,-0.25,5.2,1070.63,63.875,-63.875,0
BD+14 4559 b,BD+14 4559,1,0,Radial Velocity,2009,McDonald Observatory,268.94,0.99,-0.99,0.78,13.8,,,1.23,330.5432,149.3801,-149.3801,K2 V,0.86,0.49,0.33,-0.33,,49.352,0.0846,-0.0844,0
BD+15 2375 b,BD+15 2375,1,0,Radial Velocity,2016,Roque de los Muchachos Observatory,153.22,0.44,-0.44,0.576,13.8,,,1.23,337.21763,85.8141,-85.8141,G5,8.95,1.08,0.14,-0.14,7.41,768.045,45.038,-45.038,0
BD+15 2940 b,BD+15 2940,1,0,Radial Velocity,2013,McDonald Observatory,137.48,0.34,-0.34,0.539,13.7,,,1.23,352.78,,,K0,14.7,1.1,0.2,-0.2,7.1,426.42,6.44,-6.44,0
BD+20 2457 b,BD+20 2457,1,0,Radial Velocity,2009,McDonald Observatory,379.63,2,-2,1.05,11.6,,,1.03,17668.1697,24965.5465,-24965.5465,K2 II,71.02,10.83,22.96,-22.96,,1539.71,189.925,-189.925,0
BD+20 2457 c,BD+20 2457,1,0,Radial Velocity,2009,McDonald Observatory,621.99,10.2,-10.2,2.01,12.4,,,1.1,3963.17,,,K2 II,49,2.8,1.5,-1.5,,1539.71,189.925,-189.925,0
BD+20 274 b,BD+20 274,1,0,Radial Velocity,2012,McDonald Observatory,578.2,5.4,-5.4,1.3,13,,,1.16,1334.886,,,K5 III,17.3,0.8,0.2,-0.2,,1322.51,80.535,-80.535,0
BD+20 594 b,BD+20 594,1,0,Transit,2016,K2,41.6855,0.003,-0.003,0.241,2.578,0.112,-0.112,0.23,22.2481,9.5349,-9.5349,G,1.08,1.67,0.4,-0.4,3.34,179.461,1.257,-1.24,0
BD+45 564 b,BD+45 564,1,0,Radial Velocity,2021,Haute-Provence Observatory,307.88,1.47,-1.47,0.83,13.6,,,1.21,432.24663,38.13941,-38.13941,K1,0.81,0.81,0.07,-0.07,,53.622,0.1919,-0.1905,0
BD+48 738 b,BD+48 738,1,0,Radial Velocity,2011,McDonald Observatory,392.6,5.5,-5.5,1,13.9,,,1.24,289.2253,,,K0 III,11,0.74,0.39,-0.39,,871.493,43.849,-43.849,0
BD+48 740 b,BD+48 740,1,0,Radial Velocity,2018,Multiple Observatories,733,5,-8,1.7,13.5,,,1.2,540.311,222.481,-222.481,K3 III,10.33,1.09,0.16,-0.16,,666.589,21.5335,-21.5335,0
BD+49 828 b,BD+49 828,1,0,Radial Velocity,2015,McDonald Observatory,2590,300,-180,4.2,13.5,,,1.21,508.5,127.1,-63.6,K0,7.6,1.52,0.22,-0.22,2.34,442.042,7.654,-7.654,0
BD+55 362 b,BD+55 362,1,0,Radial Velocity,2021,Haute-Provence Observatory,265.59,1.04,-1.04,0.78,14,,,1.25,228.83645,25.42627,-25.42627,K3,0.9,0.91,0.1,-0.1,,52.5697,0.0974,-0.0971,0
BD+63 1405 b,BD+63 1405,1,0,Radial Velocity,2021,Haute-Provence Observatory,1198.48,60.79,-60.79,2.06,13,,,1.16,1258.60049,98.52681,-98.52681,K0,0.8,0.82,0.08,-0.08,,38.0473,0.0329,-0.0329,0
BD-00 4475 b,BD-00 4475,1,0,Radial Velocity,2021,Haute-Provence Observatory,723.2,0.74,-0.74,1.48,12,,,1.07,7961.6016,708.75735,-708.75735,G0,0.84,0.81,0.1,-0.1,,42.6402,0.1816,-0.1801,0
BD-06 1339 b,BD-06 1339,1,0,Radial Velocity,2013,La Silla Observatory,3.8728,0.0004,-0.0004,0.0428,2.85,,,0.254,8.5,1.3,-1.3,K7/M0 V,0.69,0.7,,,4.4,20.2695,0.022,-0.0218,0
BD-06 1339 c,BD-06 1339,1,0,Radial Velocity,2013,La Silla Observatory,125.94,0.44,-0.44,0.435,8.38,,,0.747,53,8,-8,K7/M0 V,0.69,0.7,,,4.4,20.2695,0.022,-0.0218,0
BD-08 2823 b,BD-08 2823,1,0,Radial Velocity,2009,La Silla Observatory,5.6,0.02,-0.02,0.06,3.61,,,0.322,12.7132,3.1783,-3.1783,K3 V,0.71,0.5,0.26,-0.26,4.5,41.3342,0.0685,-0.0682,0
BD-08 2823 c,BD-08 2823,1,0,Radial Velocity,2009,La Silla Observatory,237.6,1.5,-1.5,0.68,12.5,,,1.11,104,10,-10,K3 V,0.72,0.74,0.07,-0.07,4.5,41.3342,0.0685,-0.0682,0
BD-10 3166 b,BD-10 3166,1,0,Radial Velocity,2000,W. M. Keck Observatory,3.48777,0.00011,-0.00011,0.04,14.1,,,1.26,187.5197,22.2481,-22.2481,K0 V,0.91,1.47,0.24,-0.24,1,84.4069,0.3537,-0.3508,0
BD-11 4672 b,BD-11 4672,1,0,Radial Velocity,2014,La Silla Observatory,1634,13,-14,2.36,14.1,,,1.25,206.5895,15.8915,-19.0698,K7 V,0.64,0.65,0.03,-0.03,7.4,27.1665,0.0346,-0.0346,0
BD-11 4672 c,BD-11 4672,1,0,Radial Velocity,2020,Roque de los Muchachos Observatory,74.2,0.06,-0.08,0.3,4.04,,,0.36,15.37,2.97,-2.81,K7V,0.64,0.65,0.03,-0.03,7.4,27.1665,0.0346,-0.0346,0
BD-13 2130 b,BD-13 2130,1,0,Radial Velocity,2007,La Silla Observatory,714.29999,5.3,-5.3,1.66,12.5,,,1.11,3108.3774,1449.3048,-1449.3048,G5 IV/V,19.17,2.12,1.47,-1.47,0.74,925.214,41.211,-41.211,0
BD-17 63 b,BD-17 63,1,0,Radial Velocity,2008,La Silla Observatory,655.6,0.6,-0.6,1.34,12.8,,,1.15,1620.9,38.14,-38.14,K5 V,0.69,0.74,0.03,-0.03,4.3,34.4603,0.0929,-0.0924,0
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,0,Imaging,2011,W. M. Keck Observatory,10037.5,2737.5,-2737.5,2.6,12.4,,,1.11,3337.1,1430.2,-1430.2,,,0.02,0.01,-0.01,,23.1,2.4,-2.4,0
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,0,Imaging,2021,Hubble Space Telescope,8040000,470000,-470000,200,20.849,0.56,-0.56,1.86,2479.06157,222.47988,-254.26273,M9-L1,0.24,0.01,0,0,0.003,,,,0
CHXR 73 b,CHXR 73,1,0,Imaging,2006,Hubble Space Telescope,,,,210,12.3,,,1.1,3994.486,2662.991,-1664.369,M3.5,,0.35,,,0.002,190.374,6.647,-6.22,0
CI Tau b,CI Tau,1,0,Radial Velocity,2019,Multiple Observatories,8.9891,0.0202,-0.0202,,12.4,,,1.11,3686.828,921.707,-858.141,K7,1.88,0.9,0.02,-0.02,0.003,157.998,1.198,-1.18,0
COCONUTS-2 b,COCONUTS-2 A,1,0,Imaging,2021,NASA Infrared Telescope Facility (IRTF),402000000,470000000,-100000000,7506,12.442,0.336,-0.336,1.11,2002.31896,476.74261,-603.87397,M3 V,0.39,0.37,0.02,-0.02,0.475,10.8864,0.0041,-0.0042,0
CT Cha b,CT Cha,1,0,Imaging,2007,Paranal Observatory,,,,440,24.66,9.08,-6.73,2.2,5403,1907,-1907,K5e,1.68,,,,0.002,190.72,0.778,-0.771,0
CoRoT-1 b,CoRoT-1,1,0,Transit,2008,CoRoT,1.5089557,0.0000064,-0.0000064,0.02752,16.7,0.9,-0.9,1.49,327.35,38.14,-38.14,G0 V,1.11,0.95,0.15,-0.15,1.6,787.909,23.491,-23.491,5
CoRoT-10 b,CoRoT-10,1,0,Transit,2010,CoRoT,13.2406,0.0002,-0.0002,0.1055,10.87,0.78,-0.78,0.97,874,50.85,-50.85,K1 V,0.79,0.89,0.05,-0.05,3,338.386,3.9865,-3.9865,0
CoRoT-11 b,CoRoT-11,1,0,Transit,2010,CoRoT,2.99433,0.000011,-0.000011,0.0436,16.03,0.34,-0.34,1.43,740.51,108.06,-108.06,F6 V,1.37,1.27,0.05,-0.05,2,655.037,24.947,-23.209,0
CoRoT-12 b,CoRoT-12,1,0,Transit,2010,CoRoT,2.828042,0.000013,-0.000013,0.04016,16.14,1.46,-1.46,1.44,291.438,22.247,-20.658,,1.12,1.08,0.08,-0.07,6.3,1126.37,55.745,-55.745,0
CoRoT-13 b,CoRoT-13,1,0,Transit,2010,CoRoT,4.03519,0.00003,-0.00003,0.051,9.92,0.157,-0.157,0.885,415.704,20.976,-20.976,G0 V,1.01,1.09,0.02,-0.02,1.635,1148.93,62.12,-56.15,0
CoRoT-14 b,CoRoT-14,1,0,Transit,2010,CoRoT,1.51214,0.00013,-0.00013,0.027,12.22,0.78,-0.78,1.09,2415.4,190.7,-190.7,F9 V,1.21,1.13,0.09,-0.09,4.2,1744.6,173.03,-144.9,0
CoRoT-16 b,CoRoT-16,1,0,Transit,2011,CoRoT,5.35227,0.0002,-0.0002,0.0618,13.11,1.79,-1.57,1.17,170.032,27.014,-26.379,G5 V,1.19,1.1,0.08,-0.08,6.73,732.409,35.344,-32.282,0
CoRoT-17 b,CoRoT-17,1,0,Transit,2011,CoRoT,3.7681,0.0003,-0.0003,0.0461,11.43,0.78,-0.78,1.02,772.29,95.34,-95.34,G2 V,1.59,1.04,0.1,-0.1,10.7,1176.12,57.17,-52.19,0
CoRoT-18 b,CoRoT-18,1,0,Transit,2011,CoRoT,1.9000693,0.0000028,-0.0000028,0.0295,14.68,2.02,-2.02,1.31,1102.82,120.77,-120.77,G9 V,1,0.95,0.15,-0.15,0.032,764.889,27.614,-25.784,0
CoRoT-19 b,CoRoT-19,1,0,Transit,2011,CoRoT,3.89713,0.00002,-0.00002,0.0518,14.46,0.34,-0.34,1.29,352.78,19.07,-19.07,F9 V,1.65,1.21,0.05,-0.05,5,790.663,26.737,-25.071,0
CoRoT-2 b,CoRoT-2,2,0,Transit,2008,CoRoT,1.7429935,0.000001,-0.000001,0.02798,16.432,0.471,-0.493,1.466,1102.82,69.92,-69.92,,0.91,0.96,0.08,-0.08,2.7,213.283,2.485,-2.43,6
CoRoT-20 b,CoRoT-20,1,0,Transit,2011,CoRoT,9.24285,0.0003,-0.0003,0.09,9.416,0.448,-0.448,0.84,1366.669,63.566,-63.566,G2 V,1.02,1.14,0.08,-0.08,0.1,844.061,24.171,-22.883,0
CoRoT-20 c,CoRoT-20,1,0,Radial Velocity,2018,Multiple Observatories,1675,19,-17,2.9,12.2,,,1.09,5403.11,317.83,-317.83,G2 V,1.37,1.14,0.08,-0.08,0.1,844.061,24.171,-22.883,0
CoRoT-21 b,CoRoT-21,1,0,Transit,2012,CoRoT,2.72474,0.00014,-0.00014,0.0417,14.572,1.569,-1.569,1.3,718.2958,98.5273,-98.5273,F8 IV,1.95,1.29,0.09,-0.09,4.1,1398.834197,286.4501849,-286.4501849,0
CoRoT-22 b,CoRoT-22,1,0,Transit,2014,CoRoT,9.75598,0.00011,-0.00011,0.092,4.88,0.17,-0.39,0.435,12.2,14,-8.8,G3 V,1.14,1.1,0.05,-0.05,3.3,627.158,11.187,-10.808,0
CoRoT-23 b,CoRoT-23,1,0,Transit,2011,CoRoT,3.6313,0.0001,-0.0001,0.048,11.77,1.46,-1.46,1.05,889.9,95.3,-95.3,G0 V,1.61,1.14,0.08,-0.08,7.2,1060.97,45.47,-41.94,0
CoRoT-24 b,CoRoT-24,1,0,Transit,2014,CoRoT,5.1134,0.0006,-0.0006,0.056,3.7,0.4,-0.4,0.33,5.7,,,K1 V,0.86,0.91,0.09,-0.09,11,591.555,16.043,-15.232,0
CoRoT-24 c,CoRoT-24,1,0,Transit,2014,CoRoT,11.759,0.0063,-0.0063,0.098,5,0.5,-0.5,0.44,28,11,-11,K1 V,0.86,0.91,0.09,-0.09,11,591.555,16.043,-15.232,0
CoRoT-25 b,CoRoT-25,1,0,Transit,2013,CoRoT,4.86069,0.00006,-0.00006,0.0578,12.11,3.4,-1.12,1.08,85.81,12.71,-12.71,F9,1.19,1.09,0.11,-0.05,4.5,1103.48,44.28,-41.05,0
CoRoT-26 b,CoRoT-26,1,0,Transit,2013,CoRoT,4.20474,0.00005,-0.00005,0.0526,14.12,1.46,-0.78,1.26,165.26,15.89,-15.89,G5,1.79,1.09,0.06,-0.06,8.6,1045.18,,,0
CoRoT-27 b,CoRoT-27,1,0,Transit,2014,CoRoT,3.57532,0.00006,-0.00006,0.0476,11.287,0.493,-0.493,1.007,3302.11,174.8,-174.8,G2,1.08,1.05,0.11,-0.11,4.21,1010.28,69.26,-61.036,0
CoRoT-28 b,CoRoT-28,1,0,Transit,2015,CoRoT,5.20851,0.00038,-0.00038,0.0603,10.705,0.74,-0.74,0.955,153.82972,27.65121,-27.65121,G8/9 IV,1.78,1.01,0.14,-0.14,12,766.183,14.685,-14.152,0
CoRoT-29 b,CoRoT-29,1,0,Transit,2015,CoRoT,2.85057,0.000006,-0.000006,0.0386,10.088,1.793,-1.793,0.9,270.1555,63.566,-63.566,K0 V,0.9,0.97,0.14,-0.14,4.5,806.507,44.027,-39.76,0
CoRoT-3 b,CoRoT-3,1,0,Transit,2008,CoRoT,4.2568,0.000005,-0.000005,0.05783,11.32,0.78,-0.78,1.01,6883.91,317.8,-317.8,F3 V,1.56,1.37,0.09,-0.09,2.2,768.771,30.791,-28.545,0
CoRoT-30 b,CoRoT-30,1,0,Transit,2020,CoRoT,9.06005,0.00024,-0.00024,0.0844,11.31,0.852,-0.852,1.009,921.707,69.9226,-69.9226,G3 V,0.91,0.98,0.03,-0.05,3,1032.23,48.57,-44.467,0
CoRoT-31 b,CoRoT-31,1,0,Transit,2020,CoRoT,4.62941,0.00075,-0.00075,0.0586,16.365,3.363,-3.363,1.46,266.9772,108.0622,-108.0622,G2 IV,2.15,1.25,0.22,-0.21,4.7,2005.76,169.79,-145.71,0
CoRoT-4 b,CoRoT-4,1,0,Transit,2008,CoRoT,9.20205,0.00037,-0.00037,0.09,13.34,0.67,-0.56,1.19,228.83,25.43,-25.43,,1.17,1.16,0.03,-0.02,1,726.412,15.181,-14.582,0
CoRoT-5 b,CoRoT-5,1,0,Transit,2009,CoRoT,4.0378962,0.0000019,-0.0000019,0.04947,15.558,0.516,-0.527,1.388,148.42,14.937,-7.628,F9 V,1.19,1,0.02,-0.02,6.9,882.472,25.62,-25.62,0
CoRoT-6 b,CoRoT-6,1,0,Transit,2009,CoRoT,8.886593,0.000004,-0.000004,0.0855,13.068,0.392,-0.392,1.166,940.74,108.06,-108.06,F9 V,1.02,1.05,0.05,-0.05,2.5,645.294,12.453,-11.997,0
CoRoT-7 b,CoRoT-7,1,0,Transit,2009,CoRoT,0.85359163,0.00000001,-0.00000001,0.017016,1.681,0.112,-0.112,0.15,4.07661,1.01982,-1.01982,G9 V,0.83,0.82,0.17,-0.17,1.75,159.906,0.917,-0.906,0
CoRoT-7 c,CoRoT-7,1,0,Radial Velocity,2009,CoRoT,3.698,0.003,-0.003,0.046,2.83,,,0.253,8.4,0.9,-0.9,G9 V,0.86,0.9,0.12,-0.1,1.75,159.906,0.917,-0.906,0
CoRoT-8 b,CoRoT-8,1,0,Transit,2010,CoRoT,6.21229,0.00003,-0.00003,0.063,6.39,0.22,-0.22,0.57,69.92,9.53,-9.53,K1 V,0.77,0.88,0.04,-0.04,3,322.037,2.714,-2.714,0
CoRoT-9 b,CoRoT-9,2,0,Transit,2009,CoRoT,95.272656,0.000068,-0.000068,0.4021,11.949,0.841,-0.706,1.066,266.9772,15.8915,-15.8915,G3 V,0.96,0.96,0.04,-0.04,6,412.98,4.725,-4.622,0
CoRoTID 223977153 b,CoRoTID 223977153,1,0,Transit,2017,CoRoT,6.71837,0.00001,-0.00001,0.071,6.389,0.673,-0.56,0.57,47.6745,31.783,-31.783,G0 VI,0.79,1.08,0.08,-0.07,,576.683,10.436,-10.436,0
DE CVn b,DE CVn,2,0,Eclipse Timing Variations,2018,Multiple Facilities,4098.1,131.5,-131.5,5.75,12.4,,,1.1,3823.2733,955.81833,-955.81833,,0.42,0.51,,,,30.5225,0.0284,-0.0285,0
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,0,Astrometry,2013,Paranal Observatory,246.36,1.38,-1.35,0.36,11.9,,,1.06,9057.77,603.85,-603.85,L1.5,,0.07,0.01,-0.01,1,20.77,0.08,-0.08,0
