Planet Name,Host Name,Number of Stars,Number of Moons,Discovery Method,Discovery Year,Discovery Facility,Orbital Period,Orbital Period (Upper),Orbital Period (Lower),Orbital Semi- Major Axis,Earth Radius,Earth Radius (Upper),Earth Radius (Lower),Jupiter Radius,Earth Mass,Earth Mass (Upper),Earth Mass (Lower),Spectral Type,Stellar Radius,Stellar Mass,Stellar Mass (Upper),Stellar Mass (Lower),Stellar Age,Relative Distance,Relative Distance (Upper),Relative Distance (Lower),Number of Emission Spectroscopy Measurements
WASP-167 b,WASP-167,1,0,Transit,2017,Multiple Observatories,2.0219596,0.0000006,-0.0000006,0.0365,17.71,0.56,-0.56,1.58,2542.64,,,F1 V,1.79,1.59,0.08,-0.08,1.29,423.552,10.91,-10.385,0
WASP-168 b,WASP-168,2,0,Transit,2018,SuperWASP-South,4.153658,0.000003,-0.000003,0.0519,16.814,5.604,-3.363,1.5,133.4886,12.7132,-12.7132,F9 V,1.12,1.08,0.05,-0.05,3.96,303.941,1.911,-1.888,0
WASP-169 b,WASP-169,1,0,Transit,2019,WASP-South,5.6114118,0.0000092,-0.0000092,0.0681,14.617,1.681,-0.818,1.304,178.30263,19.38763,-19.38763,F8,2.01,1.34,0.08,-0.08,3.802,627.066,14.159,-13.559,0
WASP-17 b,WASP-17,1,0,Transit,2009,SuperWASP,3.73543,0.000008,-0.000008,0.0515,20.961,2.69,-2.69,1.87,247.9074,73.1009,-73.1009,F4,1.49,2.28,0.99,-0.99,2.65,405.908,8.779,-8.421,0
WASP-170 b,WASP-170,1,0,Transit,2018,SuperWASP-South,2.34478022,0.0000036,-0.0000036,0.0337,12.285,0.953,-0.953,1.096,508.528,63.566,-63.566,,0.94,0.93,0.15,-0.15,,305.603,3.71,-3.623,0
WASP-171 b,WASP-171,1,0,Transit,2019,WASP-South,3.8186244,0.0000038,-0.0000038,0.0504,10.985,0.785,-0.448,0.98,344.52772,29.87602,-29.87602,G0,1.64,1.17,0.06,-0.06,5.908,757.84,19.761,-18.798,0
WASP-172 b,WASP-172,1,0,Transit,2018,SuperWASP-South,5.477433,0.000007,-0.000007,0.0694,17.598,1.121,-1.121,1.57,149.3801,31.783,-31.783,F1 V,1.91,1.49,0.07,-0.07,1.79,538.11,15.269,-14.463,0
WASP-173 A b,WASP-173 A,2,0,Transit,2018,SuperWASP-South,1.38665318,0.00000027,-0.00000027,0.0248,13.451,0.673,-0.673,1.2,1172.7927,57.2094,-57.2094,G3,1.11,1.05,0.08,-0.08,6.78,232.98,1.79,-1.763,0
WASP-174 b,WASP-174,1,0,Transit,2018,SuperWASP-South,4.2337,0.000003,-0.000003,0.0559,14.572,5.604,-5.604,1.3,413.179,,,F6 V,1.31,1.3,0.06,-0.06,1.65,410.149,10.376,-9.884,0
WASP-175 b,WASP-175,1,0,Transit,2019,WASP-South,3.0652907,0.0000011,-0.0000016,0.04403,13.54,0.908,-0.908,1.208,314.6517,41.3179,-41.3179,F7,1.2,1.21,0.04,-0.04,1.745,539.36,11.942,-11.444,0
WASP-176 b,WASP-176,1,0,Transit,2020,SuperWASP-North,3.899052,0.000005,-0.000005,0.0535,16.87,0.56,-0.504,1.505,271.74465,22.88376,-21.93027,F9,1.93,1.34,0.08,-0.13,4.81,568.42,11.93,-11.458,0
